order_number,client_id,client_name,service_type,created_at,updated_at,order_status,total_weight_value,total_weight_unit,total_volume_value,total_volume_unit,shipment_number,ship_from_ward,ship_from_district,ship_from_province,ship_from_full_address,ship_to_ward,ship_to_district,ship_to_province,ship_to_full_address,shipment_status,shipments_summary_description,shipments_summary_name,shipments_summary_quantity,shipments_summary_weight_unit,shipments_summary_weight_value,allocation_factor,trip_code,trip_reference_code,trip_status,stop_points,license_plate,sequence_number,stop_type,location_name,actual_arrival_datetime,actual_departure_datetime,vehicle_type,vehicle_capacity_unit,xe_ghn_cung_cap,vehicle_dimensions_height,vehicle_dimensions_length,vehicle_dimensions_unit,vehicle_dimensions_width,xe_kh_yeu_cau,required_max_volume_value,required_max_volume_unit,trip_updated_at,sync_status,rn
75182155591872512,1007,Công Ty Tnhh LX Pantos Việt Nam,FTL,2026-04-13 16:50:55+00:00,2026-04-17 03:09:41+00:00,DELIVERED,4543.0,KG,28.39,M3,S75182155604434944,Phường Long Bình,Thành phố Biên Hòa,Đồng Nai,"Kho số 12, ICD Tân Cảng Long Bình, số 10 Phan Đăng Lưu,  phường Long Bình, Bien Hoa, ĐồNg Nai, Phường Long Bình, Thành phố Biên Hòa, Đồng Nai",Phường Phú Mỹ,Quận 7,Hồ Chí Minh,"LO H9, KHU CANH DOI, KDT PHU MY HUNG, Q7 TP. HCM",DELIVERED,50H-60414 - Nguyễn Ngọc Viên,17447115,33,KG,4543.0,1,3CJM7y6ASbesrewsDLLfBMZvr7p,FTL260413BIQ5XCZV,COMPLETED,"[{""full_address"":""Kho số 12, ICD Tân Cảng Long Bình, số 10 Phan Đăng Lưu,  phường Long Bình, Bien Hoa, ĐồNg Nai, Phường Long Bình, Thành phố Biên Hòa, Đồng Nai"",""sequence_number"":1,""stop_status"":""DEPARTED"",""stop_type"":""PICKUP""},{""full_address"":""LO H9, KHU CANH DOI, KDT PHU MY HUNG, Q7 TP. HCM"",""sequence_number"":2,""stop_status"":""DEPARTED"",""stop_type"":""DELIVERY""}]",50H-60414,1,PICKUP,"DONG NAI BRANCH - MAXIDI VIETNAM CO., LTD",2026-04-14 03:22:33.359000+00:00,2026-04-14 03:25:59.216000+00:00,truck,KG,8000,2300,9580,CM,2350,8000,47.0,M3,2026-04-14 03:29:04.030000+00:00,SYNCED,1
75182155591872512,1007,Công Ty Tnhh LX Pantos Việt Nam,FTL,2026-04-13 16:50:55+00:00,2026-04-17 03:09:41+00:00,DELIVERED,4543.0,KG,28.39,M3,S75182155604434944,Phường Long Bình,Thành phố Biên Hòa,Đồng Nai,"Kho số 12, ICD Tân Cảng Long Bình, số 10 Phan Đăng Lưu,  phường Long Bình, Bien Hoa, ĐồNg Nai, Phường Long Bình, Thành phố Biên Hòa, Đồng Nai",Phường Phú Mỹ,Quận 7,Hồ Chí Minh,"LO H9, KHU CANH DOI, KDT PHU MY HUNG, Q7 TP. HCM",DELIVERED,50H-60414 - Nguyễn Ngọc Viên,17447115,33,KG,4543.0,1,3CJM7y6ASbesrewsDLLfBMZvr7p,FTL260413BIQ5XCZV,COMPLETED,"[{""full_address"":""Kho số 12, ICD Tân Cảng Long Bình, số 10 Phan Đăng Lưu,  phường Long Bình, Bien Hoa, ĐồNg Nai, Phường Long Bình, Thành phố Biên Hòa, Đồng Nai"",""sequence_number"":1,""stop_status"":""DEPARTED"",""stop_type"":""PICKUP""},{""full_address"":""LO H9, KHU CANH DOI, KDT PHU MY HUNG, Q7 TP. HCM"",""sequence_number"":2,""stop_status"":""DEPARTED"",""stop_type"":""DELIVERY""}]",50H-60414,2,DELIVERY,THANHTUAN-HCM_KDT Phu My Hung,2026-04-14 03:26:01.168000+00:00,2026-04-14 03:26:16.525000+00:00,truck,KG,8000,2300,9580,CM,2350,8000,47.0,M3,2026-04-14 03:29:04.030000+00:00,SYNCED,2
75213512183410688,1006,SF | AQUA B2B,FTL,2026-04-13 18:55:31+00:00,2026-04-17 03:09:41+00:00,CREATED,5752.0,KG,0.0,M3,S75213512195964928,Xã Bạch Sam,Thị xã Mỹ Hào,Hưng Yên,"Kho K09 – Công ty One One, Bạch Sam, Mỹ Hào, Hưng Yên",Xã Hưng Tây,Huyện Hưng Nguyên,Nghệ An,"Số 18,đường số 03,Khu công nghiệp VSIP Nghệ An, Xã Hưng Tây, Huyện Hưng Nguyên, Tỉnh Nghệ An,",BOOKED,50H86529,WB202604130103,88,KG,5752.0,1,3CJbHanouIE4A4lBPJTMlupwqjq,FTL260414IJXU5LGF,PLANNED,"[{""full_address"":""Kho K09 – Công ty One One, Bạch Sam, Mỹ Hào, Hưng Yên"",""sequence_number"":1,""stop_status"":""PENDING"",""stop_type"":""PICKUP""},{""full_address"":""Số 18,đường số 03,Khu công nghiệp VSIP Nghệ An, Xã Hưng Tây, Huyện Hưng Nguyên, Tỉnh Nghệ An,"",""sequence_number"":2,""stop_status"":""PENDING"",""stop_type"":""DELIVERY""}]",,1,PICKUP,AQUA HƯNG YÊN,,,,,0,0,0,,0,15000,67.21,M3,2026-04-13 18:55:32.101000+00:00,SYNCED,1
75213512183410688,1006,SF | AQUA B2B,FTL,2026-04-13 18:55:31+00:00,2026-04-17 03:09:41+00:00,CREATED,5752.0,KG,0.0,M3,S75213512195964928,Xã Bạch Sam,Thị xã Mỹ Hào,Hưng Yên,"Kho K09 – Công ty One One, Bạch Sam, Mỹ Hào, Hưng Yên",Xã Hưng Tây,Huyện Hưng Nguyên,Nghệ An,"Số 18,đường số 03,Khu công nghiệp VSIP Nghệ An, Xã Hưng Tây, Huyện Hưng Nguyên, Tỉnh Nghệ An,",BOOKED,50H86529,WB202604130103,88,KG,5752.0,1,3CJbHanouIE4A4lBPJTMlupwqjq,FTL260414IJXU5LGF,PLANNED,"[{""full_address"":""Kho K09 – Công ty One One, Bạch Sam, Mỹ Hào, Hưng Yên"",""sequence_number"":1,""stop_status"":""PENDING"",""stop_type"":""PICKUP""},{""full_address"":""Số 18,đường số 03,Khu công nghiệp VSIP Nghệ An, Xã Hưng Tây, Huyện Hưng Nguyên, Tỉnh Nghệ An,"",""sequence_number"":2,""stop_status"":""PENDING"",""stop_type"":""DELIVERY""}]",,2,DELIVERY,CÔNG TY TNHH THƯƠNG MẠI VÀ GIẢI PHÁP CÔNG NGHỆ TEKA HOME - Nghệ An,,,,,0,0,0,,0,15000,67.21,M3,2026-04-13 18:55:32.101000+00:00,SYNCED,2
75215458738925568,1006,SF | AQUA B2B,FTL,2026-04-13 19:03:15+00:00,2026-04-17 03:09:41+00:00,DELIVERED,3521.0,KG,0.0,M3,S75215458751479808,Phường Long Bình,Thành phố Biên Hòa,Đồng Nai,"IDC Tân Cảng Long Bình, số 10 Phan Đăng Lưu, KP7, phường Long Bình, Biên Hòa, Đồng Nai",Phường Tân Thuận,,Hồ Chí Minh,"so 9 duong Ben Nghe, Phuong Tan Thuan, Thanh pho Ho Chi Minh, Viet Nam",DELIVERED,50H00219,WB202604130210,94,KG,3521.0,1,3CJcDj4DV38LyM0ZBmGhnMHHyKa,FTL260414HGDPYMSI,COMPLETED,"[{""full_address"":""IDC Tân Cảng Long Bình, số 10 Phan Đăng Lưu, KP7, phường Long Bình, Biên Hòa, Đồng Nai"",""sequence_number"":1,""stop_status"":""DEPARTED"",""stop_type"":""PICKUP""},{""full_address"":""so 9 duong Ben Nghe, Phuong Tan Thuan, Thanh pho Ho Chi Minh, Viet Nam"",""sequence_number"":2,""stop_status"":""DEPARTED"",""stop_type"":""DELIVERY""}]",50H-60382,1,PICKUP,AQUA ĐỒNG NAI,2026-04-14 03:29:40.310000+00:00,2026-04-14 04:25:39.983000+00:00,truck,KG,8000,2300,9580,CM,2350,7000,34.65,M3,2026-04-14 08:23:54.815000+00:00,SYNCED,1
75215458738925568,1006,SF | AQUA B2B,FTL,2026-04-13 19:03:15+00:00,2026-04-17 03:09:41+00:00,DELIVERED,3521.0,KG,0.0,M3,S75215458751479808,Phường Long Bình,Thành phố Biên Hòa,Đồng Nai,"IDC Tân Cảng Long Bình, số 10 Phan Đăng Lưu, KP7, phường Long Bình, Biên Hòa, Đồng Nai",Phường Tân Thuận,,Hồ Chí Minh,"so 9 duong Ben Nghe, Phuong Tan Thuan, Thanh pho Ho Chi Minh, Viet Nam",DELIVERED,50H00219,WB202604130210,94,KG,3521.0,1,3CJcDj4DV38LyM0ZBmGhnMHHyKa,FTL260414HGDPYMSI,COMPLETED,"[{""full_address"":""IDC Tân Cảng Long Bình, số 10 Phan Đăng Lưu, KP7, phường Long Bình, Biên Hòa, Đồng Nai"",""sequence_number"":1,""stop_status"":""DEPARTED"",""stop_type"":""PICKUP""},{""full_address"":""so 9 duong Ben Nghe, Phuong Tan Thuan, Thanh pho Ho Chi Minh, Viet Nam"",""sequence_number"":2,""stop_status"":""DEPARTED"",""stop_type"":""DELIVERY""}]",50H-60382,2,DELIVERY,MBW - HCM_Kho CN DMX Quan 7 (2021),2026-04-14 08:23:45.518000+00:00,2026-04-14 08:23:51.763000+00:00,truck,KG,8000,2300,9580,CM,2350,7000,34.65,M3,2026-04-14 08:23:54.815000+00:00,SYNCED,2
75199115998273536,1007,Công Ty Tnhh LX Pantos Việt Nam,FTL,2026-04-13 17:58:19+00:00,2026-04-17 03:09:41+00:00,DELIVERED,2736.0,KG,17.1,M3,S75199116048596992,Phường Long Bình,Thành phố Biên Hòa,Đồng Nai,"Kho số 12, ICD Tân Cảng Long Bình, số 10 Phan Đăng Lưu,  phường Long Bình, Bien Hoa, ĐồNg Nai, Phường Long Bình, Thành phố Biên Hòa, Đồng Nai",Phường An Lạc,,Hồ Chí Minh,"1185 LE DUC ANH, PHUONG AN LAC, THANH PHO HO CHI MINH, VIET NAM",DELIVERED,50H-87873 - Hồ Ngọc Qúi,17447210,41,KG,2736.0,1,3CJUK9xN9Ugew0bFt8tFEogaSYV,FTL2604147K0660LJ,COMPLETED,"[{""full_address"":""Kho số 12, ICD Tân Cảng Long Bình, số 10 Phan Đăng Lưu,  phường Long Bình, Bien Hoa, ĐồNg Nai, Phường Long Bình, Thành phố Biên Hòa, Đồng Nai"",""sequence_number"":1,""stop_status"":""DEPARTED"",""stop_type"":""PICKUP""},{""full_address"":""1185 LE DUC ANH, PHUONG AN LAC, THANH PHO HO CHI MINH, VIET NAM"",""sequence_number"":2,""stop_status"":""DEPARTED"",""stop_type"":""DELIVERY""}]",50H-87873,1,PICKUP,"DONG NAI BRANCH - MAXIDI VIETNAM CO., LTD",2026-04-14 04:16:23.724000+00:00,2026-04-14 04:16:32.107000+00:00,truck,KG,5000,1,1,CM,1,5000,31.68,M3,2026-04-14 11:19:40.556000+00:00,SYNCED,1
75199115998273536,1007,Công Ty Tnhh LX Pantos Việt Nam,FTL,2026-04-13 17:58:19+00:00,2026-04-17 03:09:41+00:00,DELIVERED,2736.0,KG,17.1,M3,S75199116048596992,Phường Long Bình,Thành phố Biên Hòa,Đồng Nai,"Kho số 12, ICD Tân Cảng Long Bình, số 10 Phan Đăng Lưu,  phường Long Bình, Bien Hoa, ĐồNg Nai, Phường Long Bình, Thành phố Biên Hòa, Đồng Nai",Phường An Lạc,,Hồ Chí Minh,"1185 LE DUC ANH, PHUONG AN LAC, THANH PHO HO CHI MINH, VIET NAM",DELIVERED,50H-87873 - Hồ Ngọc Qúi,17447210,41,KG,2736.0,1,3CJUK9xN9Ugew0bFt8tFEogaSYV,FTL2604147K0660LJ,COMPLETED,"[{""full_address"":""Kho số 12, ICD Tân Cảng Long Bình, số 10 Phan Đăng Lưu,  phường Long Bình, Bien Hoa, ĐồNg Nai, Phường Long Bình, Thành phố Biên Hòa, Đồng Nai"",""sequence_number"":1,""stop_status"":""DEPARTED"",""stop_type"":""PICKUP""},{""full_address"":""1185 LE DUC ANH, PHUONG AN LAC, THANH PHO HO CHI MINH, VIET NAM"",""sequence_number"":2,""stop_status"":""DEPARTED"",""stop_type"":""DELIVERY""}]",50H-87873,2,DELIVERY,CAO PHONG - HCM_KHO HAI THANH 2,2026-04-14 09:32:50.448000+00:00,2026-04-14 11:19:37.600000+00:00,truck,KG,5000,1,1,CM,1,5000,31.68,M3,2026-04-14 11:19:40.556000+00:00,SYNCED,2
75199116660973568,1007,Công Ty Tnhh LX Pantos Việt Nam,FTL,2026-04-13 17:58:19+00:00,2026-04-17 03:09:41+00:00,DELIVERED,3140.0,KG,19.62,M3,S75199116673548288,Phường Long Bình,Thành phố Biên Hòa,Đồng Nai,"Kho số 12, ICD Tân Cảng Long Bình, số 10 Phan Đăng Lưu,  phường Long Bình, Bien Hoa, ĐồNg Nai, Phường Long Bình, Thành phố Biên Hòa, Đồng Nai",Phường Bình Hưng Hòa,,Hồ Chí Minh,"Kho xuong so 11, Cum 2, Duong M14, Khu cong nghiep Tan Binh mo rong, Phuong Binh Hung Hoa, Thanh pho Ho Chi Minh, Viet Nam",DELIVERED,50H-00296 - Lý Hồng Chương,17470843,38,KG,3140.0,1,3CJUK9DooGF7xjwIWFUMpblp5ty,FTL260414DT0NPZSZ,COMPLETED,"[{""full_address"":""Kho số 12, ICD Tân Cảng Long Bình, số 10 Phan Đăng Lưu,  phường Long Bình, Bien Hoa, ĐồNg Nai, Phường Long Bình, Thành phố Biên Hòa, Đồng Nai"",""sequence_number"":1,""stop_status"":""DEPARTED"",""stop_type"":""PICKUP""},{""full_address"":""Kho xuong so 11, Cum 2, Duong M14, Khu cong nghiep Tan Binh mo rong, Phuong Binh Hung Hoa, Thanh pho Ho Chi Minh, Viet Nam"",""sequence_number"":2,""stop_status"":""DEPARTED"",""stop_type"":""DELIVERY""}]",50H-00296,1,PICKUP,"DONG NAI BRANCH - MAXIDI VIETNAM CO., LTD",2026-04-14 03:25:36.656000+00:00,2026-04-14 04:32:18.666000+00:00,truck,KG,5000,1,1,CM,1,5000,31.68,M3,2026-04-14 08:42:44.700000+00:00,SYNCED,1
75199116660973568,1007,Công Ty Tnhh LX Pantos Việt Nam,FTL,2026-04-13 17:58:19+00:00,2026-04-17 03:09:41+00:00,DELIVERED,3140.0,KG,19.62,M3,S75199116673548288,Phường Long Bình,Thành phố Biên Hòa,Đồng Nai,"Kho số 12, ICD Tân Cảng Long Bình, số 10 Phan Đăng Lưu,  phường Long Bình, Bien Hoa, ĐồNg Nai, Phường Long Bình, Thành phố Biên Hòa, Đồng Nai",Phường Bình Hưng Hòa,,Hồ Chí Minh,"Kho xuong so 11, Cum 2, Duong M14, Khu cong nghiep Tan Binh mo rong, Phuong Binh Hung Hoa, Thanh pho Ho Chi Minh, Viet Nam",DELIVERED,50H-00296 - Lý Hồng Chương,17470843,38,KG,3140.0,1,3CJUK9DooGF7xjwIWFUMpblp5ty,FTL260414DT0NPZSZ,COMPLETED,"[{""full_address"":""Kho số 12, ICD Tân Cảng Long Bình, số 10 Phan Đăng Lưu,  phường Long Bình, Bien Hoa, ĐồNg Nai, Phường Long Bình, Thành phố Biên Hòa, Đồng Nai"",""sequence_number"":1,""stop_status"":""DEPARTED"",""stop_type"":""PICKUP""},{""full_address"":""Kho xuong so 11, Cum 2, Duong M14, Khu cong nghiep Tan Binh mo rong, Phuong Binh Hung Hoa, Thanh pho Ho Chi Minh, Viet Nam"",""sequence_number"":2,""stop_status"":""DEPARTED"",""stop_type"":""DELIVERY""}]",50H-00296,2,DELIVERY,MBW - HO CHI MINH_ DMX Kho Tan Binh (Cont),2026-04-14 08:42:29.858000+00:00,2026-04-14 08:42:39.918000+00:00,truck,KG,5000,1,1,CM,1,5000,31.68,M3,2026-04-14 08:42:44.700000+00:00,SYNCED,2
